Model,Kilometers Driven,Year,Owner,Fuel Type,Transmission,Insurance,number_of_photos,Car Condition,Selling Price
MarutiCelerioVXI,24060,2019,First Owner,Petrol + CNG,MANUAL,22/01/2022,8,47,504699
Hyundaii20MAGNAO1.4,56549,2014,First Owner,Diesel,MANUAL,10/08/2021,9,46,358999
Hyundaii20SPORTZ1.2,21100,2014,First Owner,Petrol,MANUAL,01/08/2021,6,46,510299
Hyundaii20MAGNAO,48219,2012,First Owner,Petrol,MANUAL,21/11/2021,9,41,325999
Hyundaii10SPORTZ1.2,107693,2013,First Owner,Petrol,MANUAL,29/08/2021,4,42,239599
MarutiVitaraBrezzaZDIPLUSDUAL,35989,2016,First Owner,Diesel,MANUAL,05/07/2021,16,49,783199
MarutiRitz,68342,2012,First Owner,Diesel,MANUAL,Expired,10,43,232999
MarutiRitz,104928,2010,Second Owner,Diesel,MANUAL,21/01/2021,14,39,279799
SkodaSuperbELEGANCE1.8TSI,84474,2012,Third Owner,Petrol,AUTOMATIC,14/03/2021,13,42,433399
MarutiSwiftLXI,61191,2016,Second Owner,Petrol,MANUAL,20/11/2021,3,44,470799
HyundaiSantroXingXLERLXEURO,124360,2007,Second Owner,Petrol,MANUAL,02/10/2021,8,41,104289
HyundaiGrandi10ASTA1.1(O),64460,2014,First Owner,Diesel,MANUAL,15/04/2021,9,44,7
HyundaiGrandi10MAGNA1.2,49341,2015,First Owner,Petrol,MANUAL,19/04/2021,22,44,372099
HondaCityVMT,65099,2015,Second Owner,Petrol,MANUAL,24/01/2022,7,43,657599
Hyundaii10MAGNA1.1,87828,2012,First Owner,Petrol + LPG,MANUAL,29/09/2021,7,38,279599
HyundaiElitei20SPORTZ,46056,2017,First Owner,Diesel,MANUAL,20/09/2021,3,47,637199
AudiA62.0,176188,2013,First Owner,Diesel,AUTOMATIC,20/04/2021,9,44,1319868
Hyundaii10MAGNA1.2,63546,2011,First Owner,Petrol,MANUAL,28/07/2021,7,4,296899
Hyundaii10MAGNA1.1,26939,2015,First Owner,Petrol,MANUAL,10/06/2021,18,45,330699
HyundaiCreta1.6E+,26151,2017,First Owner,Petrol,MANUAL,31/05/2021,11,46,801499
RenaultDuster85PS,67407,2015,First Owner,Diesel,MANUAL,Comp,9,45,484699
MarutiOMNIE8,40141,2014,First Owner,Petrol,RJ14,Comp,1,42,172399
MarutiSwift,11784,2018,First Owner,Petrol,MANUAL,Expired,24,49,556363
MarutiWagonR1.0LXI,121435,2013,First Owner,Petrol + CNG,MANUAL,22/11/2022,5,39,301599
Hyundaii20MAGNA1.2,82682,2009,Second Owner,Petrol,MANUAL,19/03/2021,18,39,275099
HyundaiEonDLITE,27748,2013,First Owner,Petrol,MANUAL,02/01/2022,8,44,237899
MarutiWagonR1.0,70903,2010,Second Owner,Petrol + CNG,MANUAL,18/05/2021,9,43,248899
MarutiSwiftDzireVXI1.2BS,78713,2015,First Owner,Petrol,MANUAL,19/04/2021,15,43,538199
MarutiSwiftDzireVXI1.2BS,56518,2013,Second Owner,Petrol,MANUAL,20/02/2021,7,44,495899
Hyundaii20MAGNA1.2,119575,2009,Third Owner,Petrol,MANUAL,17/10/2021,18,45,168099
MarutiCelerio,10412,2019,First Owner,Petrol,MANUAL,08/05/2021,8,48,479500
HondaAmaze1.2EXMTI,71800,2014,First Owner,Petrol,MANUAL,11/02/2021,4,43,330799
HyundaiSantroXingGL,49419,2011,Second Owner,Petrol,MANUAL,27/01/2021,10,43,263299
FordFigo1.4EXI,109104,2013,First Owner,Diesel,MANUAL,30/12/2021,9,41,177499
HyundaiEonERA,3308,2018,First Owner,Petrol,MANUAL,Expired,11,41,338999
MarutiWagonR1.0LXI,43781,2015,First Owner,Petrol + CNG,MANUAL,20/07/2021,16,45,322321
MarutiRitzVXIBS,34146,2013,First Owner,Petrol,MANUAL,11/07/2021,13,42,420299
MarutiCiazZXI,107589,2015,First Owner,Petrol,MANUAL,11/02/2021,7,42,473899
HyundaiElitei20ASTA1.4,79445,2015,First Owner,Diesel,MANUAL,24/03/2021,16,43,561299
HyundaiElitei20SPORTZ,32307,2017,First Owner,Diesel,MANUAL,11/06/2021,5,45,728166
ChevroletBeatPS,98452,2012,Second Owner,Diesel,MANUAL,28/12/2020,16,41,144097
MarutiAltoK10,38617,2012,First Owner,Petrol,MANUAL,23/08/2021,1,45,255299
HondaCitySMT,99003,2009,Second Owner,Petrol,MANUAL,28/02/2021,14,46,259899
MarutiSwiftVDI,92527,2015,First Owner,Diesel,MANUAL,06/09/2021,6,43,390399
HyundaiElitei20MAGNA1.4,169453,2014,First Owner,Diesel,MANUAL,30/11/2021,10,41,514299
MarutiAlto,34854,2010,First Owner,Petrol,MANUAL,Insurance Expired,11,4,174699
HondaBrio1.2VXMTI,65667,2013,Second Owner,Petrol,MANUAL,22/11/2021,7,41,266099
ToyotaInnova2.5VX8STRBS,143740,2014,Second Owner,Diesel,MANUAL,23/12/2020,18,42,926599
MarutiCiazDELTA1.5SHVS,23999,2018,First Owner,Petrol,GJ27,Third_party,4,46,737299
Hyundaii10MAGNA,89576,2009,Second Owner,Petrol,MANUAL,09/10/2021,7,43,180599
ToyotaCorollaAltisD4D,137352,2011,First Owner,Diesel,MANUAL,31/03/2021,7,42,464899
MarutiErtiga,98137,2015,First Owner,Petrol + CNG,MANUAL,18/06/2021,10,46,530899
HyundaiGrandi10Sportz1.2,41100,2017,First Owner,Diesel,MANUAL,29/11/2021,4,45,486299
MarutiWagonR1.0LXI,56607,2014,First Owner,Petrol + CNG,MANUAL,Comp,12,43,346799
MarutiSX4ZXIMTLEATHERBS,150248,2008,Third Owner,Petrol,MANUAL,01/01/2021,4,43,131199
HyundaiEonERA,83546,2014,Second Owner,Petrol,MANUAL,09/02/2021,14,39,204799
ToyotaEtiosLiva,21763,2011,First Owner,Petrol,MANUAL,17/11/2021,9,47,274499
MarutiSwiftDzireLDIBS,122165,2013,First Owner,Diesel,MANUAL,25/05/2021,17,43,305199
MarutiSwiftDzireVDIBS,46299,2012,First Owner,Diesel,MANUAL,18/11/2021,9,42,352499
MarutiWagonR1.0,18325,2013,First Owner,Petrol,MANUAL,24/10/2021,6,45,318079
SkodaRapid1.6TDIMT,63473,2012,Second Owner,Diesel,MANUAL,29/11/2021,12,43,427799
Hyundaii10,79620,2007,Third Owner,Petrol,MANUAL,23/05/2021,9,38,5
ToyotaFortuner3.0MT,96301,2012,Second Owner,Diesel,MANUAL,13/04/2021,7,44,1045599
VolkswagenPoloTRENDLINE1.2L,42069,2012,First Owner,Petrol,MANUAL,29/07/2021,13,41,256099
MarutiCelerioVXI,123057,2016,Second Owner,Petrol + CNG,MANUAL,Expired,12,42,362199
HyundaiGrandi10MAGNA1.2KAPPA,34558,2016,First Owner,Petrol,MANUAL,30/03/2021,15,49,413899
MarutiOMNIE8,147413,2015,First Owner,Petrol + LPG,RJ14,Third_party,21,39,168699
MarutiWagonR1.0,32808,2012,First Owner,Petrol,MANUAL,31/07/2021,19,4,267599
BMW5Series,94020,2008,First Owner,Petrol,AUTOMATIC,22/03/2021,9,42,551681
MarutiSwiftDzireVDIBS,75435,2012,First Owner,Diesel,MANUAL,18/05/2021,12,44,316838
HondaCityVMT,40028,2013,Second Owner,Petrol,MANUAL,Expired,27,43,478699
MarutiSX4,9961,2008,First Owner,Petrol,MANUAL,24/06/2021,8,43,187199
FordEcosport1.5TITANIUMTDCI,151247,2014,First Owner,Diesel,MANUAL,15/07/2021,5,41,440099
MarutiBalenoDELTADDIS,63898,2016,First Owner,Diesel,MANUAL,30/06/2021,14,45,571599
HondaCityVMT,74017,2012,Third Owner,Petrol,MANUAL,31/03/2021,9,44,369099
MarutiBalenoALPHA1.2,76914,2015,First Owner,Petrol,MANUAL,30/10/2021,3,46,524399
MarutiCelerioVXI,9878,2019,First Owner,Petrol + CNG,MANUAL,20/06/2022,13,47,535599
Hyundaii20MAGNA1.2,86164,2009,Second Owner,Petrol,MANUAL,07/02/2021,10,42,218799
MarutiRitz,64475,2015,First Owner,Diesel,MANUAL,01/01/2021,12,46,344399
MarutiAltoK10,8604,2018,First Owner,Petrol,MANUAL,20/02/2021,5,49,322699
MarutiRitz,54237,2013,First Owner,Diesel,MANUAL,12/09/2021,6,44,271299
FordFigo1.4EXI,108709,2014,First Owner,Diesel,MANUAL,Expired,1,43,176499
MarutiSwiftVDI,154513,2015,Second Owner,Diesel,MANUAL,06/05/2021,7,48,373299
HyundaiGrandi10MAGNA1.2KAPPA,35915,2015,First Owner,Petrol,MANUAL,20/10/2021,18,44,383399
ToyotaCorollaAltis1.8,91612,2009,Third Owner,Petrol + CNG,DL4C,Third_party,3,42,227099
TataTIAGOJTP,14039,2019,First Owner,Petrol,TN22,Zero_Dep,9,48,603340
Hyundaii20MAGNA1.2,222973,2010,First Owner,Petrol,MANUAL,07/10/2021,7,42,171699
MarutiSwiftVXI,79169,2009,First Owner,Petrol,MANUAL,21/10/2021,5,42,213413
MarutiSwiftDzireLXI1.2BS,59387,2011,First Owner,Petrol,MANUAL,21/03/2021,7,4,327699
Hyundaii20SPORTZ1.2,74934,2010,First Owner,Petrol,MANUAL,23/12/2021,36,42,253199
HyundaiVernaFLUIDIC1.6SX,120745,2014,First Owner,Diesel,MANUAL,Expired,3,43,498099
MarutiWagonR1.0,65611,2011,Second Owner,Petrol,MANUAL,Expired,7,4,199599
HondaCityVMT,136859,2013,First Owner,Petrol,MANUAL,06/02/2021,4,43,423299
MarutiBalenoALPHADDIS,69278,2016,First Owner,Diesel,MANUAL,25/03/2021,6,45,630780
MarutiWagonR1.0,70993,2015,First Owner,Petrol,MANUAL,Expired,15,4,320699
FordFigo1.2TITANIUM,49821,2010,Third Owner,Petrol,MANUAL,Expired,9,42,141599
RenaultKwid,14665,2019,First Owner,Petrol,MANUAL,16/03/2021,8,44,335999
MarutiBalenoZETA1.2,20333,2017,First Owner,Petrol,MANUAL,19/09/2021,8,49,665315
Hyundaii20ASTA,56580,2014,First Owner,Petrol,MANUAL,30/10/2021,11,42,500599
HondaAmaze1.5SMTI,125008,2013,First Owner,Diesel,MANUAL,16/08/2021,17,47,256399
MarutiSwiftDzireVDIBS,107099,2012,Second Owner,Diesel,MANUAL,20/03/2021,7,42,418499
MarutiBalenoDELTA1.2,90025,2015,First Owner,Petrol,MANUAL,26/01/2021,22,43,454
ToyotaEtiosLiva,89919,2012,First Owner,Diesel,MANUAL,17/06/2021,4,43,344599
MarutiSwiftDzireVDIBS,42679,2013,First Owner,Diesel,MANUAL,19/07/2021,17,46,449999
MarutiSwiftDzireVDIBS,70192,2012,Second Owner,Diesel,MANUAL,23/05/2021,3,45,441299
MarutiErtiga,24825,2015,First Owner,Diesel,MANUAL,12/03/2021,6,47,605499
MarutiSwift,79144,2014,First Owner,Diesel,MANUAL,12/02/2021,11,46,433099
MarutiSwiftLXI,73411,2015,First Owner,Petrol,MANUAL,15/07/2021,7,44,366699
MahindraTUV300,50455,2017,First Owner,Diesel,MANUAL,24/08/2021,30,46,528099
MarutiAlto,29879,2008,First Owner,Petrol,MANUAL,29/04/2021,2,4,173399
MarutiOMNIE8,4110,2017,First Owner,Petrol,KA02,Zero_Dep,18,4,354599
HyundaiCreta1.6SXPLUS,56895,2016,Second Owner,Petrol,HR26,,2,48,894499
HyundaiCreta1.6E+,9294,2019,First Owner,Petrol,MANUAL,24/03/2021,34,49,925999
Hyundaii20SPORTZ1.2,63467,2013,Second Owner,Petrol,MANUAL,06/07/2021,4,45,291899
SkodaFabiaELEGANCE1.2,64274,2010,First Owner,Petrol,MANUAL,20/01/2021,17,41,227999
MarutiSwift,72754,2014,First Owner,Diesel,MANUAL,27/06/2021,18,42,388499
MarutiSwiftLXI,98656,2009,First Owner,Petrol,MANUAL,04/06/2021,4,42,109199
RenaultKwidRXT,40290,2016,First Owner,Petrol,MANUAL,14/07/2021,5,45,301599
HyundaiGrandi10MAGNA1.2KAPPA,42170,2014,Second Owner,Petrol,MANUAL,Expired,5,42,335499
HondaAmaze1.2VXMTI,45278,2013,Second Owner,Petrol,MANUAL,03/05/2021,9,42,321799
RenaultKwidRXT1.0EASY-R,12255,2016,First Owner,Petrol,KA50,Zero_Dep,22,48,365099
MarutiSwift,60422,2013,Second Owner,Diesel,MANUAL,24/11/2021,15,41,371399
Hyundaii10MAGNA1.2,210904,2013,First Owner,Petrol + CNG,MANUAL,07/07/2021,8,4,248599
MarutiAltoK10LXI,23963,2016,First Owner,Petrol + CNG,MANUAL,11/02/2022,5,48,389703
MarutiDzire,11404,2017,First Owner,Petrol,MANUAL,22/03/2021,10,49,691699
RenaultKwid,38933,2016,First Owner,Petrol,MANUAL,26/11/2021,9,46,379999
RenaultDuster85PS,103665,2013,First Owner,Diesel,MANUAL,09/10/2021,21,44,322068
MahindraXUV500,49189,2018,First Owner,Diesel,MANUAL,28/09/2021,6,45,1167456
VolkswagenPoloHIGHLINE1.5L,59325,2015,First Owner,Diesel,MANUAL,22/07/2021,12,44,592599
MarutiSwiftVDI,66476,2015,First Owner,Diesel,MANUAL,11/11/2021,7,45,429499
MarutiCelerio,148559,2015,First Owner,Diesel,MANUAL,29/07/2021,7,43,232199
Hyundaii10SPORTZ1.2,114748,2012,First Owner,Petrol,MANUAL,Expired,8,43,305199
MahindraXUV500W8,84778,2015,Second Owner,Diesel,MANUAL,19/04/2021,5,46,889799
MarutiWagonR1.0,98462,2012,First Owner,Petrol,MANUAL,23/01/2021,2,43,250499
VolkswagenPoloTRENDLINE1.2L,73625,2012,First Owner,Diesel,MANUAL,25/07/2021,10,43,206083
HyundaiEonERA,129837,2013,First Owner,Petrol + CNG,MANUAL,20/05/2021,8,38,186399
HondaAmaze1.5SXMTI,113188,2014,First Owner,Diesel,MANUAL,09/10/2021,4,43,370899
Hyundaii10MAGNA1.1,33582,2013,Second Owner,Petrol,MANUAL,11/04/2021,14,45,221199
MarutiWagonR1.0,48335,2013,First Owner,Petrol,MANUAL,30/12/2021,7,42,310199
MarutiCiazDELTA1.5SHVSVVT,17483,2018,First Owner,Petrol,DL4C,Comp,4,49,819699
BMWX1SDRIVE,63035,2013,Second Owner,Diesel,AUTOMATIC,21/05/2021,8,43,1011799
HyundaiVernaFLUIDIC1.6SXVTVT,71292,2011,Third Owner,Petrol,MANUAL,Expired,4,39,270500
MarutiSwiftVDI,46856,2015,First Owner,Diesel,MANUAL,27/02/2021,2,45,419699
HyundaiSantroXingGL,20500,2014,First Owner,Petrol + CNG,MANUAL,20/11/2021,6,44,254899
Hyundaii20SPORTZ1.2,78129,2011,First Owner,Petrol,MANUAL,15/02/2021,9,42,309599
Hyundaii10MAGNA1.1,57657,2013,First Owner,Petrol,MANUAL,02/03/2021,5,38,264950
TataTiagoXZ1.05,125598,2017,First Owner,Diesel,MANUAL,16/08/2021,8,42,336599
MarutiRitzVXIABS,45651,2014,First Owner,Petrol,AUTOMATIC,Expired,12,43,282599
HondaCitySVMT,28213,2019,First Owner,Petrol,MANUAL,27/03/2022,7,49,861999
MarutiAlto800,24679,2012,Third Owner,Petrol,MANUAL,12/12/2021,12,43,274599
MarutiAltoK10,58304,2015,Second Owner,Petrol,MANUAL,05/06/2021,4,41,214599
MarutiBalenoALPHA1.2,16232,2016,Second Owner,Petrol,MANUAL,26/08/2021,8,4,556999
MarutiSwiftDzireVXI1.2BS,70649,2015,First Owner,Petrol,MANUAL,20/07/2021,6,49,459599
HyundaiGrandi10SPORTZ1.2KAPPA,247836,2016,First Owner,Petrol,MANUAL,16/07/2021,3,46,436399
MarutiSwiftDzireVXI1.2BS,95093,2013,First Owner,Petrol,MANUAL,28/03/2021,22,41,384799
ToyotaCorollaH31.8,98229,2007,First Owner,Petrol,MANUAL,20/07/2021,9,42,144099
TataNEXONXZ+,21127,2018,First Owner,Petrol,MANUAL,16/02/2021,17,44,657699
MarutiSwiftDzireVDIBS,32957,2014,First Owner,Diesel,MANUAL,10/06/2021,12,44,516399
HyundaiCreta1.6CRDISXPLUS,108963,2016,First Owner,Diesel,AUTOMATIC,20/09/2021,4,4,1188855
HyundaiGrandi10SPORTS1.2,6587,2016,First Owner,Petrol,MANUAL,29/08/2021,5,46,436499
RenaultKwid,9495,2016,First Owner,Petrol,MANUAL,02/06/2021,7,48,304827
Hyundaii10SPORTZ1.2,56973,2010,Second Owner,Petrol,AUTOMATIC,17/08/2021,18,42,199500
MarutiSwift,163408,2009,First Owner,Diesel,MANUAL,19/12/2021,5,41,281699
MarutiBalenoDELTADDIS,32865,2016,First Owner,Diesel,MANUAL,08/09/2021,8,46,597099
MarutiWagonR1.0,31796,2015,First Owner,Petrol,MANUAL,23/09/2021,7,43,408399
HondaCitySMT,75713,2010,Second Owner,Petrol + CNG,MANUAL,19/10/2021,5,43,398999
HondaAmaze1.2SMTI,14358,2018,First Owner,Petrol,MANUAL,Expired,11,46,552899
HyundaiGrandi10MAGNA1.2KAPPA,10172,2017,First Owner,Petrol,MANUAL,15/07/2021,10,48,480699
FiatGrandPuntoACTIVE,46437,2014,Second Owner,Diesel,MANUAL,30/08/2021,13,42,291099
HyundaiEonMAGNA,26754,2014,First Owner,Petrol,MANUAL,10/10/2021,9,44,300799
HondaAmaze1.5EMTI,123934,2015,Second Owner,Diesel,MANUAL,31/01/2021,7,43,409299
RenaultDuster85PS,93733,2013,Second Owner,Diesel,MANUAL,02/02/2021,12,43,305864
MarutiSwiftDzireVDIBS,89383,2014,First Owner,Diesel,MANUAL,19/10/2021,20,43,335700
MarutiAlto,98526,2008,Third Owner,Petrol,MANUAL,14/02/2021,2,4,111799
MarutiAlto,13966,2011,First Owner,Petrol,MANUAL,05/02/2021,8,44,171299
MarutiSwiftLDIBS,123852,2012,First Owner,Diesel,MANUAL,27/06/2021,22,39,246500
MarutiEeco7,27741,2018,First Owner,Petrol,MANUAL,07/08/2021,4,44,876
MarutiSwift,12889,2019,First Owner,Petrol,MANUAL,09/08/2022,6,49,710064
HyundaiXcentSX,92011,2015,First Owner,Petrol,MANUAL,18/12/2020,4,45,404099
MarutiAlto,72725,2009,Second Owner,Petrol,MANUAL,07/03/2021,10,4,133599
MarutiAlto800,11110,2017,First Owner,Petrol,MANUAL,05/07/2021,14,47,281399
RenaultDuster85PS,94775,2014,First Owner,Diesel,MANUAL,Expired,14,39,458899
HyundaiXcentS1.2,78612,2015,First Owner,Petrol + CNG,MANUAL,22/06/2021,8,43,451244
RenaultDuster85PS,171979,2015,First Owner,Diesel,MANUAL,17/04/2021,8,38,507799
MarutiSwiftDzireVDIBS,160205,2010,Second Owner,Diesel,MANUAL,30/01/2021,3,41,297299
MarutiAlto,45476,2008,First Owner,Petrol,MANUAL,27/07/2021,21,42,206599
RenaultKwidCLIMBER1.0,34616,2017,First Owner,Petrol,HR26,Comp,12,46,315699
MarutiAlto800,67833,2015,Second Owner,Petrol,MANUAL,02/02/2020,4,42,260240
RenaultKwidRXT1.0EASY-R,24005,2017,First Owner,Petrol,KA53,Comp,7,48,406999
HyundaiEonMAGNA,56350,2013,First Owner,Petrol,MANUAL,Expired,3,45,218399
TataTiagoXZ1.2,25034,2018,First Owner,Petrol,MANUAL,Expired,3,48,526099
MarutiAlto800,38472,2015,First Owner,Petrol,MANUAL,08/09/2021,17,43,299799
HyundaiGrandi10MAGNA1.2KAPPA,45391,2016,First Owner,Petrol,MANUAL,04/10/2021,6,46,429299
Hyundaii20SPORTZO1.4,98304,2012,First Owner,Diesel,MANUAL,Expired,4,45,354899
TataNEXONXM,1424,2019,First Owner,Petrol,MANUAL,07/01/2023,4,49,834599
MarutiVitaraBrezza,59715,2016,First Owner,Diesel,MANUAL,Expired,7,46,584199
MarutiAlto800,23598,2016,First Owner,Petrol,MANUAL,29/06/2021,6,49,343899
HyundaiSantroXingGL,39601,2012,First Owner,Petrol,MANUAL,Comp,4,44,250699
HondaCity1.5EMT,74247,2012,First Owner,Petrol,MH02,Comp,17,42,396199
ToyotaEtiosVX,52194,2012,Second Owner,Diesel,MANUAL,25/03/2021,27,43,309199
HondaAmaze1.2SMTI,10129,2018,First Owner,Petrol,MANUAL,26/01/2021,3,49,631799
MarutiAlto800,12702,2016,Second Owner,Petrol,MANUAL,01/12/2021,4,48,254199
HyundaiSantroXingXOERLXEURO,69390,2007,Second Owner,Petrol,MANUAL,22/07/2021,6,4,224499
MarutiErtigaVDI,25046,2017,First Owner,Diesel,MANUAL,27/04/2021,6,48,736599
MarutiBalenoDELTA1.2,27670,2017,First Owner,Petrol,MANUAL,Expired,6,45,539599
HyundaiAccentEXECUTIVE,136284,2012,Second Owner,Petrol + CNG,MANUAL,01/07/2021,13,41,169955
MarutiAltoK10,65190,2014,First Owner,Petrol,MANUAL,17/09/2021,4,42,320299
HondaCitySMT,65403,2011,First Owner,Petrol,MANUAL,19/08/2021,13,48,420300
FordFigo1.2TITANIUM,81196,2010,First Owner,Petrol,MANUAL,15/12/2021,3,42,266186
MarutiSCrossSIGMA,85657,2015,First Owner,Diesel,MANUAL,19/08/2021,27,46,505399
RenaultKwidRXT1.0EASY-RAT,22247,2017,First Owner,Petrol,AUTOMATIC,Expired,18,48,384199
HondaCityVMT,48559,2014,First Owner,Petrol,MANUAL,10/06/2021,4,43,639999
MarutiAltoK10VXI,29156,2015,Second Owner,Petrol,MH05,,17,44,297799
HondaBrio1.2SMTI,18255,2012,Second Owner,Petrol,MANUAL,Expired,15,46,286599
MarutiBalenoDELTA1.2,10055,2018,First Owner,Petrol,MANUAL,15/11/2020,2,48,98
MarutiAltoK10,11976,2017,First Owner,Petrol,MANUAL,30/12/2020,5,49,343999
MarutiVitaraBrezzaZDI+,16194,2018,First Owner,Diesel,AUTOMATIC,Zero_Dep,14,49,898099
VolkswagenPoloHIGHLINE1.2L,120996,2013,First Owner,Diesel,MANUAL,01/05/2021,15,47,290799
MarutiEeco5STRWITHAC,21932,2017,First Owner,Petrol,MANUAL,Expired,7,44,413999
MarutiAlto800,8526,2016,First Owner,Petrol,MANUAL,27/10/2021,2,47,345199
HondaAmaze1.5EMTI,55490,2014,First Owner,Diesel,MANUAL,29/03/2021,20,41,380240
MarutiDzireVXI,42167,2017,First Owner,Petrol,AUTOMATIC,08/07/2020,1,48,560999
MarutiAlto800,66047,2013,Second Owner,Petrol,MANUAL,24/05/2020,4,41,244180
HyundaiGrandi10SPORTS1.2,56923,2016,Second Owner,Petrol,MANUAL,Insurance Expired,6,43,374435
RenaultDusterRXZAMT110,130303,2016,First Owner,Diesel,AUTOMATIC,10/05/2021,4,42,701799
Hyundaii20MAGNAO1.4,75654,2013,First Owner,Diesel,MANUAL,02/04/2021,8,42,346099
HyundaiGrandi10SPORTZ1.2KAPPA,66962,2014,Second Owner,Petrol,MANUAL,27/09/2021,16,42,322699
RenaultKwid,9895,2018,First Owner,Petrol,MANUAL,20/12/2021,5,49,354229
FordNewFigo1.5TITANIUMAT,11328,2018,First Owner,Petrol,PB91,Zero_Dep,14,5,549399
SkodaSuperbELEGANCETDI2.0,119652,2012,Second Owner,Diesel,DL8C,Comprehensive,6,39,494115
HondaCityV,50304,2012,First Owner,Petrol,AUTOMATIC,04/10/2021,6,41,418599
Hyundaii20SPORTZ1.2,38013,2012,First Owner,Petrol,MANUAL,21/07/2021,11,38,341799
MahindraXUV500,72363,2015,First Owner,Diesel,MANUAL,02/10/2021,5,46,945699
HyundaiXcentS,40878,2015,Second Owner,Petrol,MANUAL,17/10/2021,11,43,441599
TataTiagoXZ1.2,69312,2016,First Owner,Petrol,MANUAL,27/01/2021,2,45,378099
MarutiCelerioVXI(O),23482,2016,First Owner,Petrol,AUTOMATIC,04/12/2020,4,47,469299
HyundaiElitei20ASTA1.4,137913,2015,First Owner,Diesel,MANUAL,28/06/2021,4,4,494699
MarutiSwiftZXI,37208,2018,First Owner,Petrol,AUTOMATIC,03/06/2021,24,46,632999
MarutiSwiftDzireZXI1.2BS,58291,2015,First Owner,Petrol,MANUAL,30/12/2020,4,43,595399
MarutiSwiftDzireVXI1.2BS,40302,2012,Second Owner,Petrol,MANUAL,29/03/2021,4,43,296500
HyundaiElitei20ASTA1.2,18711,2017,Second Owner,Petrol,MANUAL,Expired,8,45,585299
MarutiBalenoDELTA1.2,42568,2016,First Owner,Petrol,MANUAL,29/11/2020,9,45,503399
MarutiWagonR1.0,48954,2010,First Owner,Petrol,MANUAL,05/01/2021,9,35,166999
MarutiWagonRVXIBS,65402,2007,Second Owner,Petrol,MANUAL,04/10/2021,6,38,127599
MarutiWagonR,76036,2010,Second Owner,Petrol,MANUAL,31/03/2021,29,44,283199
MarutiAltoK10,24013,2016,First Owner,Petrol,MANUAL,30/12/2021,13,46,260899
BMW3Series,63649,2011,Second Owner,Diesel,AUTOMATIC,Expired,3,43,534399
ToyotaEtiosLiva,133608,2012,First Owner,Diesel,MANUAL,30/05/2021,15,43,326356
HondaCityVMT,80190,2009,First Owner,Petrol,MANUAL,13/11/2021,11,41,262499
MahindraTUV300,90651,2017,First Owner,Diesel,MANUAL,01/02/2021,5,4,513299
MarutiSwiftDzireVXI1.2BS,53264,2012,First Owner,Petrol,MANUAL,21/10/2021,19,4,357799
MarutiZenEstilo,47307,2010,First Owner,Petrol,MANUAL,Expired,7,38,172599
MarutiSwiftDzireVDIBS,121017,2011,First Owner,Diesel,MANUAL,28/03/2021,8,43,357799
MarutiSwift,164757,2012,First Owner,Diesel,MANUAL,30/01/2021,3,4,391099
HondaAccord2.4ATI,59142,2008,First Owner,Petrol,AUTOMATIC,Insurance Expired,16,43,306999
MarutiSwiftDzire,75468,2013,First Owner,Diesel,MANUAL,27/08/2021,15,45,408499
MarutiSwiftDzireVDIBS,59826,2015,First Owner,Diesel,MANUAL,21/02/2021,7,45,604299
MarutiAltoK10,17712,2018,Second Owner,Petrol,MANUAL,27/10/2021,8,47,324099
MarutiAlto,44132,2008,First Owner,Petrol,MANUAL,Expired,1,39,188147
MarutiCelerioVXI,60850,2016,First Owner,Petrol + CNG,MANUAL,28/03/2021,12,45,390499
HondaCitySMT,114682,2009,First Owner,Petrol,MANUAL,29/03/2021,6,43,297099
MarutiWagonR1.0VXI,38639,2017,First Owner,Petrol,AUTOMATIC,25/10/2021,5,48,87
Hyundaii20MAGNA1.2,84373,2009,First Owner,Petrol,MANUAL,Expired,8,37,287165
ToyotaEtios,43802,2012,First Owner,Diesel,MANUAL,20/04/2021,11,42,308799
TataNanoTWIST,14401,2015,Third Owner,Petrol,AUTOMATIC,Expired,3,47,206899
HyundaiGrandi10SPORTZ1.1,128627,2013,First Owner,Diesel,MANUAL,04/10/2021,29,43,315364
HondaCitySMT,83929,2012,First Owner,Petrol,MANUAL,14/06/2021,4,4,353999
MarutiDzire,21642,2019,First Owner,Diesel,MANUAL,27/09/2022,2,48,729299
MarutiAlto800LXI,66248,2014,First Owner,Petrol + CNG,MANUAL,16/10/2021,5,43,235599
FordFigo1.2ZXI,124564,2011,First Owner,Petrol,MANUAL,22/08/2021,5,42,194540
MarutiWagonR1.0,18584,2013,First Owner,Petrol,MANUAL,22/05/2021,8,43,356099
HyundaiGrandi10MAGNA1.2KAPPA,16316,2014,First Owner,Petrol,MANUAL,30/07/2021,7,46,344616
MarutiAltoK10,33423,2012,First Owner,Petrol,MANUAL,08/08/2021,8,41,200699
MercedesBenzGLAClass200CDI,79207,2016,First Owner,Diesel,MANUAL,13/09/2021,9,46,1654999
MarutiSwift,34524,2011,First Owner,Petrol,MANUAL,Expired,14,44,311399
MarutiSwiftDzireVXI1.2BS,83575,2014,First Owner,Petrol,MANUAL,17/10/2021,7,43,416099
MarutiBalenoDELTA1.2,9862,2019,First Owner,Petrol,MANUAL,04/10/2021,11,49,604499
MarutiEeco5STRWITHAC,27277,2019,First Owner,Petrol + CNG,MANUAL,15/03/2021,16,47,458699
